,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_NN__alpha,param_NN__hidden_layer_sizes,param_rp__n_components,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
42,0.5494181632995605,0.1385373121619543,0.0062500953674316405,0.007654772300436565,0.1,"(16, 16)",5,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (16, 16), 'rp__n_components': 5}",0.9286091025269312,0.9172116216726626,0.930488220874368,0.9213207907616491,0.9119696595374207,0.9219198790746063,0.006923808995062566,193
43,0.7452719688415528,0.1355992083383271,0.003017234802246094,0.006034469604492188,0.1,"(16, 16)",6,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (16, 16), 'rp__n_components': 6}",0.9315236654814151,0.9272772641146194,0.9370372131348359,0.9386875210675033,0.9329858010266803,0.9335022929650109,0.004057461420921219,100
44,0.5153950691223145,0.08462759682953143,0.0,0.0,0.1,"(16, 16)",7,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (16, 16), 'rp__n_components': 7}",0.933459411846449,0.9237860781186485,0.9303054234623287,0.9309433932270809,0.9248045334733889,0.9286597680255791,0.0037302920380573447,159
45,0.619998836517334,0.12276065564467459,0.0,0.0,0.1,"(16, 16)",8,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (16, 16), 'rp__n_components': 8}",0.9394559768722293,0.9296507827459907,0.9318003174989351,0.9322574766263766,0.928176359747623,0.932268182698231,0.0038852849347650142,118
46,0.5536243438720703,0.13737340814914217,0.0,0.0,0.1,"(16, 16)",9,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (16, 16), 'rp__n_components': 9}",0.9322701528591686,0.9271588173594846,0.9389412563471911,0.9341369074790569,0.9252632626884466,0.9315540793466696,0.004912165482496624,132
47,0.75105881690979,0.16808493816800982,0.0,0.0,0.1,"(16, 16)",10,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (16, 16), 'rp__n_components': 10}",0.9354680958830036,0.9286741164063144,0.9311268282518839,0.9384100112205652,0.935697598258087,0.9338753300039707,0.0034936451806437396,93
48,0.5922133445739746,0.07722094380957553,0.002301645278930664,0.004603290557861328,0.1,"(16, 16)",11,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (16, 16), 'rp__n_components': 11}",0.9327708380291881,0.9274494025407722,0.9395748547802952,0.9375644642775359,0.9308275894215431,0.9336374298098671,0.004418426887365712,94
49,0.6213871479034424,0.15541664992047433,0.0031246662139892576,0.006249332427978515,0.1,"(16, 16)",12,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (16, 16), 'rp__n_components': 12}",0.9380016519615992,0.9243249149259305,0.9430436672746655,0.9404045425790049,0.9275370525183307,0.9346623658519062,0.007375671095911928,73
50,0.4539650917053223,0.05869764473548376,0.0031247615814208986,0.006249523162841797,0.1,"(16, 16)",13,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (16, 16), 'rp__n_components': 13}",0.9383813596025066,0.9275057194175239,0.9355024483895525,0.9340732288862559,0.9308909143130182,0.9332707341217714,0.0037587757604493114,106
51,0.4772337436676025,0.03648053953831352,0.0,0.0,0.1,"(16, 16)",14,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (16, 16), 'rp__n_components': 14}",0.9374093728211454,0.9251482039095034,0.9410100291076829,0.9381585505190848,0.9354016073848465,0.9354255527484525,0.005444550810485504,42
52,0.5808184623718262,0.10662046849939759,0.0,0.0,0.1,"(32, 16, 32)",2,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (32, 16, 32), 'rp__n_components': 2}",0.7053157207288285,0.6845982375278821,0.6815488082221159,0.6737227751648965,0.6734567653313741,0.6837284613950194,0.011637342144838329,244
53,0.48715915679931643,0.1110048036217978,0.006267070770263672,0.007675614578797296,0.1,"(32, 16, 32)",3,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (32, 16, 32), 'rp__n_components': 3}",0.835375969134651,0.8170727786858744,0.824668728338632,0.8154346550253448,0.8208693846589904,0.8226843031686984,0.00710432069471851,225
54,0.5118862628936768,0.13969036456772768,0.003124713897705078,0.006249427795410156,0.1,"(32, 16, 32)",4,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (32, 16, 32), 'rp__n_components': 4}",0.9119180206376238,0.9027476642988997,0.9060619052337859,0.9109623302021752,0.9030724288099642,0.9069524698364898,0.0038539301550234825,212
55,0.8111258506774902,0.238799221573475,0.0031260013580322265,0.006252002716064453,0.1,"(32, 16, 32)",5,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (32, 16, 32), 'rp__n_components': 5}",0.9278388084206858,0.9102492220193859,0.9418112753740846,0.9312134426649836,0.9271253107712086,0.9276476118500698,0.010162065115596709,169
56,0.8257130146026611,0.13175645314652587,0.0,0.0,0.1,"(32, 16, 32)",6,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (32, 16, 32), 'rp__n_components': 6}",0.9393846541912513,0.927609906288654,0.9448672890720294,0.9434799107308928,0.9332425596072823,0.9377168639780219,0.0064698192313668796,9
57,0.7822319030761719,0.11975808119783443,0.0,0.0,0.1,"(32, 16, 32)",7,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (32, 16, 32), 'rp__n_components': 7}",0.936238353045865,0.9257468502910344,0.9390329414955578,0.935825711247657,0.9310857703407638,0.9335859252841756,0.004678116528890822,98
58,0.6657337188720703,0.18907166963756228,0.0,0.0,0.1,"(32, 16, 32)",8,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (32, 16, 32), 'rp__n_components': 8}",0.934225100483615,0.9299009309991765,0.9378255719265578,0.9355454407048249,0.9326025916520654,0.9340199271532479,0.002676833542539673,88
59,0.7778213024139404,0.19803799616983342,0.0,0.0,0.1,"(32, 16, 32)",9,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (32, 16, 32), 'rp__n_components': 9}",0.9367993641136165,0.9269061783823008,0.941296407526078,0.9359775929667631,0.9310379095735297,0.9344034905124576,0.00496522180852999,82
60,0.5342390060424804,0.0722100930709504,0.0,0.0,0.1,"(32, 16, 32)",10,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (32, 16, 32), 'rp__n_components': 10}",0.9345508344128016,0.9257630905997639,0.9437819363630041,0.9386530475867475,0.9308947555414836,0.9347287329007601,0.0062044260140051355,68
61,0.5412003517150878,0.07366044514574438,0.0,0.0,0.1,"(32, 16, 32)",11,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (32, 16, 32), 'rp__n_components': 11}",0.9364548297537278,0.9295760864388574,0.9441316243912359,0.9378883028431237,0.9379430061065611,0.9371987699067013,0.0046422530025295216,11
62,0.5265902042388916,0.07956060899341186,0.0,0.0,0.1,"(32, 16, 32)",12,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (32, 16, 32), 'rp__n_components': 12}",0.9338156425135554,0.9266711707421718,0.9449404686954399,0.9376119492157236,0.9355160847518373,0.9357110631837455,0.005901619866900605,33
63,0.6216541767120362,0.173675579140123,0.0068493843078613285,0.007244526307261453,0.1,"(32, 16, 32)",13,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (32, 16, 32), 'rp__n_components': 13}",0.941120119269898,0.9289942643554688,0.9410285037361901,0.9406557029846386,0.9312172546486261,0.9366031689989643,0.005353745646827389,17
64,0.5783535957336425,0.055892411241078764,0.006249284744262696,0.007653779440772776,0.1,"(32, 16, 32)",14,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (32, 16, 32), 'rp__n_components': 14}",0.9388601760476843,0.9303296035945101,0.9460971050173839,0.9417011058791708,0.93456355153384,0.9383103084145178,0.005480217144269164,5
65,0.38433470726013186,0.02623689302737181,0.0,0.0,0.01,"(32, 32)",2,"{'NN__alpha': 0.01, 'NN__hidden_layer_sizes': (32, 32), 'rp__n_components': 2}",0.6980133968776185,0.6839419132143386,0.6734029015281945,0.6715776709446402,0.6739657566889917,0.6801803278507568,0.009906845951069266,247
66,0.4798304080963135,0.08118369053233951,0.0,0.0,0.01,"(32, 32)",3,"{'NN__alpha': 0.01, 'NN__hidden_layer_sizes': (32, 32), 'rp__n_components': 3}",0.8293708038579978,0.8191081708110994,0.8301289059276029,0.8151327146965669,0.8132881564367915,0.8214057503460118,0.007071926181782571,226
