,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_NN__alpha,param_NN__hidden_layer_sizes,param_pca__n_components,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
1002,0.9112744331359863,0.18293981825922273,0.0047985553741455075,0.005374094049481806,0.0001,"(32,)",28,"{'NN__alpha': 0.0001, 'NN__hidden_layer_sizes': (32,), 'pca__n_components': 28}",0.9679502190339659,0.9751851788347451,0.980668220534811,0.9627271959834082,0.9654815202725422,0.9704024669318946,0.006593922202926341,654
1003,0.8659378051757812,0.1767670296856252,0.006193399429321289,0.0034663217643048994,0.0001,"(32,)",29,"{'NN__alpha': 0.0001, 'NN__hidden_layer_sizes': (32,), 'pca__n_components': 29}",0.950035553753277,0.975185178834745,0.9713500195306631,0.9675576369185334,0.9789462312974228,0.9686149240669282,0.010036889571640976,683
1004,0.8956405639648437,0.2640280682214578,0.010809087753295898,0.003483465409228068,0.0001,"(32,)",30,"{'NN__alpha': 0.0001, 'NN__hidden_layer_sizes': (32,), 'pca__n_components': 30}",0.9396906966251063,0.9744979024496188,0.9723852162180335,0.9758392104174983,0.9571999467735773,0.9639225944967669,0.01384079265482892,830
1005,0.891455888748169,0.15320775841234344,0.006529998779296875,0.006264518508552494,0.0001,"(32,)",31,"{'NN__alpha': 0.0001, 'NN__hidden_layer_sizes': (32,), 'pca__n_components': 31}",0.969674361888661,0.9858658253603556,0.9706603653450202,0.9730777320393016,0.9654843819081672,0.9729525333083011,0.006907134188759572,599
1006,0.9713786602020263,0.13059698232136766,0.006470870971679687,0.007294241713912569,0.0001,"(32,)",33,"{'NN__alpha': 0.0001, 'NN__hidden_layer_sizes': (32,), 'pca__n_components': 33}",0.9745012479510187,0.9841412045768891,0.9751481254140429,0.9858470656072891,0.9751481254140428,0.9789571537926566,0.004964227202589069,478
1007,1.0528269290924073,0.15884839196912395,0.007621145248413086,0.0059718458586762585,0.0001,"(32,)",34,"{'NN__alpha': 0.0001, 'NN__hidden_layer_sizes': (32,), 'pca__n_components': 34}",0.9800120797089448,0.9855286169884435,0.979634454665253,0.977911034610052,0.9748011520945027,0.9795774676134392,0.00349852834696134,470
1008,0.9001060009002686,0.14685254657112573,0.003286886215209961,0.0032086914983099415,0.0001,"(32,)",35,"{'NN__alpha': 0.0001, 'NN__hidden_layer_sizes': (32,), 'pca__n_components': 35}",0.9738101629475633,0.9879362276099356,0.9661726052759976,0.9765331570565788,0.9658313552277075,0.9740567016235566,0.008107405910479353,578
1009,0.9324292659759521,0.10349437946425298,0.0031182289123535155,0.002830690643096304,0.0001,"(32,)",36,"{'NN__alpha': 0.0001, 'NN__hidden_layer_sizes': (32,), 'pca__n_components': 36}",0.9793281340133764,0.980363327732245,0.9799785663491682,0.9689383761076319,0.9706632269806453,0.9758543262366134,0.004983686770562227,537
1010,0.7293285369873047,0.12743788224727245,0.003849506378173828,0.002980254333414192,0.0001,"(32,)",37,"{'NN__alpha': 0.0001, 'NN__hidden_layer_sizes': (32,), 'pca__n_components': 37}",0.9786370490099208,0.9748436839157321,0.9754908062801455,0.960656802608667,0.9751481254140429,0.9729552934457016,0.006298231166009549,598
1011,0.7371329307556153,0.07901240517307836,0.004286003112792969,0.005433155154831086,0.0001,"(32,)",38,"{'NN__alpha': 0.0001, 'NN__hidden_layer_sizes': (32,), 'pca__n_components': 38}",0.9758834179579297,0.9831124332727501,0.9830855872290923,0.9696294611110873,0.977911034610052,0.9779243868361822,0.005030414304061651,498
1012,0.7215916633605957,0.06821584316915856,0.005973148345947266,0.0060686236140803495,0.0001,"(32,)",39,"{'NN__alpha': 0.0001, 'NN__hidden_layer_sizes': (32,), 'pca__n_components': 39}",0.973468190099779,0.987931941062835,0.9841222147342756,0.9827429063629898,0.9772185187887841,0.9810967542097326,0.005134563427868757,431
1013,0.8398030757904053,0.06630795733339101,0.005790853500366211,0.004718716153277921,0.0001,"(32,)",40,"{'NN__alpha': 0.0001, 'NN__hidden_layer_sizes': (32,), 'pca__n_components': 40}",0.9776039911586812,0.9924099539339071,0.979634454665253,0.9827443371808022,0.9699735727950024,0.9804732619467291,0.0073050966196083755,451
1014,0.8406450748443604,0.1837272744089244,0.0054817676544189455,0.005072196157584434,0.0001,"(32,)",41,"{'NN__alpha': 0.0001, 'NN__hidden_layer_sizes': (32,), 'pca__n_components': 41}",0.98518450827303,0.9882777225289484,0.9813593055382664,0.9910244798619545,0.9613378718874347,0.9814367776179269,0.010552156747748793,423
1015,0.7130088329315185,0.17505245668116942,0.0028759002685546874,0.0034867527382268335,0.0001,"(32,)",42,"{'NN__alpha': 0.0001, 'NN__hidden_layer_sizes': (32,), 'pca__n_components': 42}",0.9882801121728055,0.9893064938330877,0.981360736356079,0.9768744071048688,0.9730777320393016,0.9817798963012285,0.006306657735131461,411
1016,0.6977172374725342,0.08993327071603921,0.003489255905151367,0.0041082851653496495,0.0001,"(32,)",43,"{'NN__alpha': 0.0001, 'NN__hidden_layer_sizes': (32,), 'pca__n_components': 43}",0.9838059079200625,0.9889692854611752,0.9834311297308203,0.983776672232548,0.9872278047963874,0.9854421600281986,0.0022416313021514046,340
1017,0.7430568695068359,0.10356498005299694,0.00787663459777832,0.004642165146642427,0.0001,"(32,)",44,"{'NN__alpha': 0.0001, 'NN__hidden_layer_sizes': (32,), 'pca__n_components': 44}",0.9844934232695747,0.9879362276099356,0.9810166246721638,0.989989283174584,0.9906803681780395,0.9868231853808596,0.003613442572753652,310
1018,0.6553739547729492,0.09608612919606317,0.001006937026977539,0.001305107828201401,0.0001,"(32,)",45,"{'NN__alpha': 0.0001, 'NN__hidden_layer_sizes': (32,), 'pca__n_components': 45}",0.9834603654183348,0.9869031697586959,0.9875747781159276,0.9910259106797672,0.9730748704036766,0.9844078188752803,0.006154493238423521,361
1019,0.6437911033630371,0.09617744485236623,0.0030397891998291014,0.0049816558895795,0.0001,"(32,)",46,"{'NN__alpha': 0.0001, 'NN__hidden_layer_sizes': (32,), 'pca__n_components': 46}",0.9793281340133763,0.9896608483934022,0.9868851239302848,0.9879174589820303,0.9658299244098949,0.9819242979457977,0.00878807047263599,407
1020,0.6706279277801513,0.15601147050962616,0.003410148620605469,0.004356165768647431,0.0001,"(32,)",47,"{'NN__alpha': 0.0001, 'NN__hidden_layer_sizes': (32,), 'pca__n_components': 47}",0.9858684539685985,0.98518283552233,0.983087018046905,0.9951652666114371,0.9899878523567716,0.9878582853012083,0.004285078369777996,286
1021,0.6792086601257324,0.15812286582119037,0.0035492897033691405,0.0044076178567932275,0.0001,"(32,)",48,"{'NN__alpha': 0.0001, 'NN__hidden_layer_sizes': (32,), 'pca__n_components': 48}",0.9834603654183349,0.9917269640958813,0.992405219051053,0.9934404157384236,0.9941300699240665,0.9910326068455519,0.0038754833937765616,238
1022,0.6901710987091064,0.07587810294571694,0.006043386459350586,0.005502709010645337,0.0001,"(32,)",49,"{'NN__alpha': 0.0001, 'NN__hidden_layer_sizes': (32,), 'pca__n_components': 49}",0.981048707214128,0.9958634820479407,0.9913700223636823,0.9896437406728563,0.9889540864872135,0.9893760077571642,0.004809512443704197,265
1023,0.5942642211914062,0.12063075926123334,0.004234457015991211,0.0021742930761919185,0.0001,"(32,)",50,"{'NN__alpha': 0.0001, 'NN__hidden_layer_sizes': (32,), 'pca__n_components': 50}",0.9848389657713021,0.9917312506429818,0.995857782432705,0.9934404157384236,0.9879174589820303,0.9907571747134887,0.0039307502576100915,242
1024,0.6500698089599609,0.14609236556112662,0.0022833824157714845,0.00349013352345438,0.0001,"(32,)",51,"{'NN__alpha': 0.0001, 'NN__hidden_layer_sizes': (32,), 'pca__n_components': 51}",0.9817397922175833,0.9793345564281059,0.9892996289889412,0.9917155648654099,0.9948197241097093,0.98738185332195,0.00590546665233672,297
1025,0.407705020904541,0.1362396430803868,0.0033802509307861326,0.005428803838011992,0.0001,"(32,)",52,"{'NN__alpha': 0.0001, 'NN__hidden_layer_sizes': (32,), 'pca__n_components': 52}",0.9924194828856512,0.9924228135752089,0.9927507615527806,0.9858499272429142,0.9972385216218033,0.9921363013756717,0.0036356840757790837,233
1026,0.2994851112365723,0.018516835669043406,0.005583906173706054,0.003940167547182165,0.0001,"(32,)",53,"{'NN__alpha': 0.0001, 'NN__hidden_layer_sizes': (32,), 'pca__n_components': 53}",0.9989669421487604,0.9989669421487603,0.9989648033126294,0.9989648033126294,0.998273718309174,0.9988274418463906,0.0002768634209153246,5
1027,0.3189659595489502,0.04288589475482589,0.002863454818725586,0.0038665125271949113,0.0001,"(32,)",54,"{'NN__alpha': 0.0001, 'NN__hidden_layer_sizes': (32,), 'pca__n_components': 54}",1.0,1.0,1.0,0.9965488674361603,0.995168128247062,0.9983433991366445,0.002075363510697972,36
1028,0.3182392597198486,0.047922572893395014,0.00235600471496582,0.002454272104910672,0.0001,"(32,)",55,"{'NN__alpha': 0.0001, 'NN__hidden_layer_sizes': (32,), 'pca__n_components': 55}",0.9979338842975206,0.9927685950413222,0.9979296066252588,0.9989648033126294,0.9955136707487899,0.9966221120051042,0.002235921568396072,195
1029,0.32097811698913575,0.048423601545196183,0.005060005187988281,0.004837876526194208,0.0001,"(32,)",56,"{'NN__alpha': 0.0001, 'NN__hidden_layer_sizes': (32,), 'pca__n_components': 56}",1.0,0.9989669421487603,0.9968944099378881,0.9965488674361604,0.9893010598067538,0.9963422558659125,0.00374684065947547,204
1030,0.28472466468811036,0.0312352692609687,0.0022129058837890626,0.0024365052030316187,0.0001,"(32,)",57,"{'NN__alpha': 0.0001, 'NN__hidden_layer_sizes': (32,), 'pca__n_components': 57}",0.9989669421487604,0.9938016528925618,0.9958592132505175,0.997584064123531,0.9989648033126294,0.9970353351456002,0.001979647450389356,155
1031,0.2712146759033203,0.020317934576089405,0.0025280475616455077,0.001926645945774746,0.0001,"(32,)",58,"{'NN__alpha': 0.0001, 'NN__hidden_layer_sizes': (32,), 'pca__n_components': 58}",1.0,0.9955219871289278,0.9986192608109017,0.9979296066252588,0.9958592132505175,0.9975860135631212,0.0016884922875445468,123
1032,0.30756711959838867,0.03242068256096657,0.0061343669891357425,0.005489355917185094,0.0001,"(32,)",59,"{'NN__alpha': 0.0001, 'NN__hidden_layer_sizes': (32,), 'pca__n_components': 59}",1.0,0.9969008264462809,1.0,0.994824016563147,1.0,0.9983449686018856,0.002130729293501437,30
1033,0.30739808082580566,0.06650016922113879,0.006592893600463867,0.005943839140546712,0.0001,"(32,)",60,"{'NN__alpha': 0.0001, 'NN__hidden_layer_sizes': (32,), 'pca__n_components': 60}",1.0,0.9944889292776882,0.9989648033126294,0.9955136707487898,1.0,0.9977934806678214,0.00233354001558756,94
1034,0.28064446449279784,0.02056417267017065,0.007197666168212891,0.0078107520283401686,0.0001,"(32,)",61,"{'NN__alpha': 0.0001, 'NN__hidden_layer_sizes': (32,), 'pca__n_components': 61}",0.996900826446281,0.9979338842975205,0.994824016563147,0.9958592132505176,0.9989648033126294,0.996896548774019,0.001464596523053388,167
1035,0.27661619186401365,0.0275247187718387,0.0035335063934326173,0.0036262626519104274,0.0001,"(32,)",62,"{'NN__alpha': 0.0001, 'NN__hidden_layer_sizes': (32,), 'pca__n_components': 62}",0.9965552839445533,0.9989669421487603,0.9986192608109017,0.9972385216218033,1.0,0.9982760017052037,0.0012332582994586021,41
1036,0.30024027824401855,0.015599405718121132,0.004649591445922851,0.004273374215611681,0.0001,"(32,)",64,"{'NN__alpha': 0.0001, 'NN__hidden_layer_sizes': (32,), 'pca__n_components': 64}",0.996900826446281,0.9979338842975205,1.0,0.9968944099378881,0.9979296066252588,0.9979317454613896,0.0011328322903018876,74
