iterations,fitness,time
2650,3774.92158936,2.745743372
2660,3774.92158936,2.756083633
2670,3774.92158936,2.765974982
2680,3774.92158936,2.776146399
2690,3774.92158936,2.78640315
2700,3774.92158936,2.796895479
2710,3774.92158936,2.807027512
2720,3774.92158936,2.817139488
2730,3774.92158936,2.827347738
2740,3774.92158936,2.837041435
2750,3774.92158936,2.846930962
2760,3774.92158936,2.856943748
2770,3774.92158936,2.868821829
2780,3774.92158936,2.881618881
2790,3774.92158936,2.891940543
2800,3774.92158936,2.901935095
2810,3774.92158936,2.916364052
2820,3774.92158936,2.927803432
2830,3774.92158936,2.937838827
2840,3774.92158936,2.948578767
2850,3774.92158936,2.958676157
2860,3774.92158936,2.969230844
2870,3774.92158936,2.98016479
2880,3774.92158936,2.990653471
2890,3774.92158936,3.001681502
2900,3774.92158936,3.011757011
2910,3774.92158936,3.023731
2920,3774.92158936,3.034839258
2930,3774.92158936,3.044923155
2940,3774.92158936,3.055061022
2950,3774.92158936,3.065057033
2960,3774.92158936,3.075434125
2970,3774.92158936,3.085378352
2980,3781.9296472,3.095199685
2990,3774.92158936,3.104681509
3000,3774.92158936,3.114258876
3010,3795.26141633,3.123757475
3020,3774.92158936,3.133482535
3030,3774.92158936,3.143121167
3040,3774.92158936,3.153045337
3050,3774.92158936,3.163515056
3060,3774.92158936,3.174060627
3070,3774.92158936,3.185881454
3080,3774.92158936,3.197387933
3090,3774.92158936,3.208298175
3100,3774.92158936,3.218494755
3110,3774.92158936,3.228530879
3120,3774.92158936,3.238381021
3130,3774.92158936,3.248014912
3140,3774.92158936,3.257927048
3150,3774.92158936,3.270458255
3160,3774.92158936,3.28081529
3170,3774.92158936,3.292451593
3180,3774.92158936,3.302707249
3190,3774.92158936,3.312847304
3200,3774.92158936,3.322847326
3210,3774.92158936,3.333017285
3220,3774.92158936,3.343815208
3230,3774.92158936,3.355495271
3240,3774.92158936,3.365792136
3250,3774.92158936,3.376121457
3260,3774.92158936,3.386655723
3270,3774.92158936,3.39699489
3280,3774.92158936,3.407765098
3290,3774.92158936,3.417823467
3300,3774.92158936,3.427864696
3310,3774.92158936,3.439095848
3320,3774.92158936,3.449931332
3330,3774.92158936,3.459755946
3340,3774.92158936,3.469644378
3350,3774.92158936,3.479374543
3360,3774.92158936,3.489072617
3370,3774.92158936,3.499501493
3380,3774.92158936,3.510258208
3390,3774.92158936,3.522003912
3400,3774.92158936,3.533073516
3410,3774.92158936,3.543833149
3420,3774.92158936,3.553934549
3430,3774.92158936,3.564126753
3440,3774.92158936,3.573754081
3450,3774.92158936,3.583638502
3460,3774.92158936,3.593754489
3470,3774.92158936,3.603655685
3480,3774.92158936,3.614504662
3490,3774.92158936,3.624886495
3500,3774.92158936,3.635340533
3510,3774.92158936,3.646612893
3520,3778.49902145,3.657520947
3530,3774.92158936,3.667938518
3540,3774.92158936,3.678093525
3550,3774.92158936,3.690031412
3560,3774.92158936,3.699779446
3570,3774.92158936,3.709972379
3580,3774.92158936,3.720921276
3590,3774.92158936,3.731605786
3600,3774.92158936,3.742687788
3610,3774.92158936,3.75298684
3620,3774.92158936,3.764079782
3630,3774.92158936,3.774732565
3640,3774.92158936,3.784926957
3650,3774.92158936,3.795075036
3660,3774.92158936,3.804941588
3670,3774.92158936,3.815252674
3680,3774.92158936,3.825672433
3690,3774.92158936,3.836145798
3700,3774.92158936,3.846713613
3710,3774.92158936,3.858899476
3720,3774.92158936,3.86923536
3730,3774.92158936,3.880135756
3740,3774.92158936,3.891158317
3750,3774.92158936,3.901216687
3760,3774.92158936,3.911017963
3770,3774.92158936,3.92094505
3780,3774.92158936,3.932863244
3790,3774.92158936,3.947132475
3800,3774.92158936,3.957353853
3810,3774.92158936,3.967869155
3820,3774.92158936,3.979002212
3830,3774.92158936,3.989921571
3840,3774.92158936,3.999966083
3850,3777.48033977,4.011386865
3860,3774.92158936,4.022225631
3870,3774.92158936,4.032398507
3880,3774.92158936,4.044028246
3890,3774.92158936,4.053735072
3900,3774.92158936,4.063347083
3910,3774.92158936,4.074430179
3920,3774.92158936,4.084859054
3930,3774.92158936,4.096345477
3940,3774.92158936,4.108582758
3950,3774.92158936,4.118633469
3960,3774.92158936,4.128265538
3970,3793.96117923,4.138371679
3980,3774.92158936,4.150003241
3990,3774.92158936,4.160903637
4000,3774.92158936,4.172044351
4010,3774.92158936,4.182123142
4020,3774.92158936,4.191625387
4030,3774.92158936,4.201161911
4040,3774.92158936,4.214656944
4050,3774.92158936,4.224836385
4060,3774.92158936,4.235678798
4070,3774.92158936,4.24579442
4080,3774.92158936,4.256001575
4090,3774.92158936,4.26539296
4100,3774.92158936,4.274810966
4110,3774.92158936,4.284169896
4120,3774.92158936,4.293455162
4130,3774.92158936,4.302770331
4140,3774.92158936,4.312087688
4150,3774.92158936,4.321986332
4160,3774.92158936,4.331872941
4170,3774.92158936,4.341859471
4180,3774.92158936,4.351784736
4190,3774.92158936,4.361827789
4200,3774.92158936,4.373538485
4210,3774.92158936,4.383304387
4220,3774.92158936,4.392882119
4230,3774.92158936,4.402732261
4240,3774.92158936,4.412681229
4250,3774.92158936,4.422773148
4260,3774.92158936,4.433659687
