iterations,fitness,time,fevals
4050,67.0,20.805050994,446500
4060,65.0,20.853616121,447600
4070,78.0,20.903359866,448700
4080,67.0,20.950698967,449800
4090,65.0,20.9985136,450900
4100,64.0,21.048499123,452000
4110,69.0,21.09625468,453100
4120,68.0,21.142232098,454200
4130,66.0,21.191871547,455300
4140,68.0,21.241542358,456400
4150,68.0,21.290321183,457500
4160,68.0,21.337349585,458600
4170,67.0,21.386811804,459700
4180,64.0,21.436136177,460800
4190,70.0,21.485036437,461900
4200,65.0,21.533191309,463000
4210,67.0,21.582272811,464100
4220,65.0,21.631042154,465200
4230,67.0,21.680551415,466300
4240,67.0,21.728238413,467400
4250,66.0,21.779224594,468500
4260,79.0,21.827646405,469600
4270,68.0,21.875525949,470700
4280,68.0,21.926512859,471800
4290,65.0,21.977245229,472900
4300,68.0,22.025660111,474000
4310,68.0,22.07395137,475100
4320,68.0,22.122993852,476200
4330,69.0,22.169788864,477300
4340,68.0,22.216738496,478400
4350,64.0,22.264351831,479500
4360,67.0,22.314516043,480600
4370,66.0,22.362168032,481700
4380,73.0,22.409209196,482800
4390,67.0,22.455671263,483900
4400,68.0,22.506979813,485000
4410,70.0,22.55383609,486100
4420,64.0,22.601167169,487200
4430,68.0,22.650197252,488300
4440,68.0,22.698327326,489400
4450,67.0,22.746069025,490500
4460,63.0,22.795019975,491600
4470,65.0,22.841867135,492700
4480,67.0,22.88954611,493800
4490,66.0,22.935483779,494900
4500,65.0,22.984248746,496000
4510,68.0,23.032624244,497100
4520,63.0,23.080292644,498200
4530,68.0,23.12920895,499300
4540,68.0,23.176394525,500400
4550,68.0,23.225509942,501500
4560,67.0,23.273732643,502600
4570,67.0,23.321995093,503700
4580,67.0,23.370153976,504800
4590,70.0,23.420483383,505900
4600,67.0,23.471631843,507000
4610,62.0,23.518928278,508100
4620,65.0,23.56783729,509200
4630,84.0,23.616346257,510300
4640,68.0,23.665190358,511400
4650,67.0,23.712058304,512500
4660,66.0,23.759612197,513600
4670,64.0,23.808241871,514700
4680,65.0,23.856833255,515800
4690,66.0,23.907093375,516900
4700,64.0,23.957671124,518000
4710,70.0,24.00588726,519100
4720,68.0,24.05666959,520200
4730,71.0,24.103523678,521300
4740,70.0,24.150242838,522400
4750,67.0,24.196274228,523500
4760,65.0,24.243166607,524600
4770,69.0,24.290552387,525700
4780,70.0,24.341423332,526800
4790,71.0,24.389493235,527900
4800,70.0,24.436885214,529000
4810,67.0,24.484634206,530100
4820,71.0,24.531439428,531200
4830,69.0,24.579370392,532300
4840,71.0,24.625779581,533400
4850,85.0,24.67359932,534500
4860,61.0,24.72328253,535600
4870,69.0,24.773978068,536700
4880,70.0,24.823383762,537800
4890,71.0,24.872422962,538900
4900,71.0,24.92025984,540000
4910,71.0,24.969505444,541100
4920,70.0,25.016109003,542200
4930,70.0,25.063302236,543300
4940,69.0,25.11297013,544400
4950,71.0,25.163784916,545500
4960,70.0,25.212230066,546600
4970,69.0,25.260591706,547700
4980,69.0,25.309115625,548800
4990,70.0,25.355887298,549900
