,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_NN__alpha,param_NN__hidden_layer_sizes,param_filter__n,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
1011,0.19025096893310547,0.01640743045532306,0.009378337860107422,0.007657382414863138,0.0001,"(32,)",5,"{'NN__alpha': 0.0001, 'NN__hidden_layer_sizes': (32,), 'filter__n': 5}",1.0,0.9928571428571429,0.9976190476190476,0.9964285714285714,1.0,0.9973809523809525,0.002651316363252382,103
1012,0.21765561103820802,0.02364538110089232,0.00945420265197754,0.007720596795316954,0.0001,"(32,)",6,"{'NN__alpha': 0.0001, 'NN__hidden_layer_sizes': (32,), 'filter__n': 6}",0.9928571428571429,0.9928571428571429,0.9761904761904762,0.9976190476190476,1.0,0.991904761904762,0.00832993127835044,580
1013,0.24547405242919923,0.022190516518294533,0.003124713897705078,0.006249427795410156,0.0001,"(32,)",7,"{'NN__alpha': 0.0001, 'NN__hidden_layer_sizes': (32,), 'filter__n': 7}",1.0,1.0,0.9952380952380953,0.9928571428571429,1.0,0.9976190476190476,0.00301169300968416,86
1014,0.2540005683898926,0.00963593027488696,0.0,0.0,0.0001,"(32,)",8,"{'NN__alpha': 0.0001, 'NN__hidden_layer_sizes': (32,), 'filter__n': 8}",0.9952380952380953,0.9952380952380953,0.9952380952380953,0.9952380952380953,0.9952380952380953,0.9952380952380953,0.0,247
1015,0.2133430004119873,0.016028417656614218,0.009260845184326173,0.007564331113050842,0.0001,"(32,)",9,"{'NN__alpha': 0.0001, 'NN__hidden_layer_sizes': (32,), 'filter__n': 9}",0.9976190476190476,1.0,0.9952380952380953,0.9880952380952381,0.9928571428571429,0.9947619047619047,0.004096345365258379,289
1016,0.2256309986114502,0.008327321476577613,0.006250190734863281,0.007654889168040448,0.0001,"(32,)",10,"{'NN__alpha': 0.0001, 'NN__hidden_layer_sizes': (32,), 'filter__n': 10}",1.0,1.0,0.9976190476190476,0.9976190476190476,0.9988095238095238,0.9988095238095237,0.001064794274999896,55
1017,0.25005426406860354,0.012836320896022622,0.0031243324279785155,0.006248664855957031,0.0001,"(32,)",11,"{'NN__alpha': 0.0001, 'NN__hidden_layer_sizes': (32,), 'filter__n': 11}",0.9952380952380953,1.0,0.9857142857142858,0.9952380952380953,1.0,0.9952380952380953,0.005216405309572992,247
1018,0.21750893592834472,0.018626024447069938,0.0,0.0,0.0001,"(32,)",12,"{'NN__alpha': 0.0001, 'NN__hidden_layer_sizes': (32,), 'filter__n': 12}",0.9857142857142858,0.9821428571428571,0.9821428571428571,0.9880952380952381,1.0,0.9876190476190476,0.006589691668141942,999
1019,0.23275880813598632,0.021000028326102087,0.00624995231628418,0.007654597108561152,0.0001,"(32,)",13,"{'NN__alpha': 0.0001, 'NN__hidden_layer_sizes': (32,), 'filter__n': 13}",0.9892857142857143,0.9988095238095238,0.9833333333333333,0.9928571428571429,0.9976190476190476,0.9923809523809524,0.005664465358747786,522
1020,0.24761691093444824,0.015609189909656436,0.008269071578979492,0.007484799078485644,0.0001,"(32,)",14,"{'NN__alpha': 0.0001, 'NN__hidden_layer_sizes': (32,), 'filter__n': 14}",0.9952380952380953,0.9940476190476191,0.9833333333333333,0.9976190476190476,0.9976190476190476,0.9935714285714287,0.005302632726504806,393
1021,0.24146599769592286,0.01020735704392256,0.0031241893768310545,0.006248378753662109,0.0001,"(32,)",15,"{'NN__alpha': 0.0001, 'NN__hidden_layer_sizes': (32,), 'filter__n': 15}",0.9904761904761905,0.986904761904762,0.9833333333333333,0.9928571428571429,1.0,0.9907142857142859,0.0056544486128752075,695
1022,0.23882179260253905,0.017946178680257614,0.003124856948852539,0.006249713897705078,0.0001,"(32,)",16,"{'NN__alpha': 0.0001, 'NN__hidden_layer_sizes': (32,), 'filter__n': 16}",0.9928571428571429,0.9940476190476191,0.9797619047619047,0.9845238095238096,0.9952380952380953,0.9892857142857142,0.00607026132570571,853
1023,0.24053187370300294,0.006807947106211197,0.004126644134521485,0.006067735420157084,0.0001,"(32,)",17,"{'NN__alpha': 0.0001, 'NN__hidden_layer_sizes': (32,), 'filter__n': 17}",0.9880952380952381,0.9964285714285714,0.9857142857142858,0.9904761904761905,0.9940476190476191,0.990952380952381,0.003883215816738103,669
1024,0.2629400730133057,0.02086795926521822,0.005012416839599609,0.0064301978043296674,0.0001,"(32,)",18,"{'NN__alpha': 0.0001, 'NN__hidden_layer_sizes': (32,), 'filter__n': 18}",0.986904761904762,0.9988095238095238,0.9952380952380953,0.9904761904761905,0.9785714285714285,0.99,0.007006637604553422,760
1025,0.23383646011352538,0.009729801348612928,0.008149480819702149,0.007033570036537985,0.0001,"(32,)",19,"{'NN__alpha': 0.0001, 'NN__hidden_layer_sizes': (32,), 'filter__n': 19}",0.9857142857142858,0.9916666666666667,0.9821428571428571,0.9880952380952381,1.0,0.9895238095238096,0.00608891040597354,817
1026,0.2800736904144287,0.0208050718395231,0.0041487693786621095,0.0060708610941122496,0.0001,"(32,)",20,"{'NN__alpha': 0.0001, 'NN__hidden_layer_sizes': (32,), 'filter__n': 20}",0.9928571428571429,1.0,0.9833333333333333,0.9904761904761905,0.9952380952380953,0.9923809523809524,0.005512303287042981,522
