,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_NN__alpha,param_NN__hidden_layer_sizes,param_gmm__n_components,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
130,1.3156800270080566,0.19418079955695114,0.0012027263641357423,0.0024054527282714845,0.001,"(32,)",15,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (32,), 'gmm__n_components': 15}",0.898299365737995,0.8994981353310687,0.9044908786873278,0.9079621141010817,0.9022796213844065,0.902506023048376,0.0034785972300124916,33
131,1.3561137199401856,0.15593177421790627,0.0028020381927490235,0.005604076385498047,0.001,"(32,)",20,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (32,), 'gmm__n_components': 20}",0.9004294865074736,0.9082978108637607,0.9129514604655048,0.9096541408519777,0.9103801945329824,0.9083426186443398,0.004236340328357248,18
132,0.29767398834228515,0.14193800731254827,0.003124856948852539,0.006249713897705078,0.001,"(16,)",2,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (16,), 'gmm__n_components': 2}",0.30827943489275317,0.2649347095159903,0.2782570307816613,0.26772181815409474,0.30515638377490556,0.28486987542388104,0.01841057477520994,214
133,0.3882277011871338,0.11084127532519947,0.003527545928955078,0.006566898573036107,0.001,"(16,)",3,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (16,), 'gmm__n_components': 3}",0.4160914698121368,0.4220125480023606,0.42701152455992647,0.468053997696783,0.4824589725668741,0.4431257025276162,0.02685072734999439,194
134,0.4650712966918945,0.16723139645436158,0.00046048164367675783,0.0009209632873535157,0.001,"(16,)",4,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (16,), 'gmm__n_components': 4}",0.5482499523257037,0.6086315451960445,0.596704479280224,0.5645290810934965,0.5589697807569072,0.5754169677304752,0.0231666530382068,177
135,0.7796375274658203,0.24556384939077838,0.006207084655761719,0.006064162806612876,0.001,"(16,)",5,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (16,), 'gmm__n_components': 5}",0.6837743769773892,0.7054809182171993,0.7051880575246993,0.7515652808852197,0.6567667273919008,0.7005550721992816,0.031134484981450525,158
136,0.7634160041809082,0.11582163536755014,0.0013965606689453126,0.002793121337890625,0.001,"(16,)",6,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (16,), 'gmm__n_components': 6}",0.6789008036563616,0.667031324786466,0.773107439208339,0.763998213161691,0.6778864981675976,0.7121848557960911,0.046301688946748194,152
137,0.8024118423461915,0.12638886798207347,0.0047436714172363285,0.006278742029372998,0.001,"(16,)",7,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (16,), 'gmm__n_components': 7}",0.78913732321262,0.769267266486101,0.7731182181439469,0.7027364124028338,0.7730332190902502,0.7614584878671504,0.030150624568830862,119
138,0.7834766864776611,0.262934374766649,0.0062771797180175785,0.005857999252929688,0.001,"(16,)",8,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (16,), 'gmm__n_components': 8}",0.9143766900531098,0.8985916391958226,0.9111503281329385,0.7406673151039347,0.7773784476354318,0.8484328840242474,0.07410818422375759,95
139,0.7151011943817138,0.08423156966997686,0.0016705513000488282,0.0026359722746612294,0.001,"(16,)",9,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (16,), 'gmm__n_components': 9}",0.8584284231847114,0.8854129440436576,0.9060976754577255,0.8612668782244534,0.8075938711550552,0.8637599584131206,0.03301697789278957,50
140,0.8233098983764648,0.07887443251220642,0.0028788566589355467,0.005264487935017252,0.001,"(16,)",10,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (16,), 'gmm__n_components': 10}",0.8632897537613567,0.8887887387567344,0.915681360352872,0.8516862401717428,0.7872684999670455,0.8613429186019503,0.04310452504651576,57
141,1.2304966926574707,0.18698767401624092,0.0031266212463378906,0.006253242492675781,0.001,"(16,)",15,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (16,), 'gmm__n_components': 15}",0.8983697726296248,0.8991403719370185,0.908211232328205,0.899154843024519,0.9004428547936859,0.9010638149426106,0.0036351846598056394,37
142,1.3947771549224854,0.15449433998090492,0.011577892303466796,0.006882442608382462,0.001,"(16,)",20,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (16,), 'gmm__n_components': 20}",0.9060888829154075,0.9045903377203556,0.9119909021448342,0.9101306832406862,0.9102011436784695,0.9086003899399506,0.0027852457510005152,16
143,1.0037326335906982,0.32707783898095855,0.007160663604736328,0.007110958764166134,0.001,"(16, 16)",2,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (16, 16), 'gmm__n_components': 2}",0.306846904173479,0.3060687714005677,0.30241399085696824,0.3217302379304919,0.32535319266250984,0.3124826194048033,0.009224382012936651,206
144,0.7449616432189942,0.2552174999619542,0.003124713897705078,0.006249427795410156,0.001,"(16, 16)",3,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (16, 16), 'gmm__n_components': 3}",0.42384846149769995,0.42055356647693376,0.48391508857842336,0.46730339316820396,0.4519505047698174,0.44951420289821575,0.024508204897209267,189
